"landmark","landmarkLabel","boroughLabel","latitude","longitude"
"http://dbpedia.org/resource/Sauer_Castle","Sauer Castle","Kansas City, Kansas",39.06848907470703,-94.63397979736328
"http://dbpedia.org/resource/Sawyer_Building","Sawyer Building","Dover, New Hampshire",43.19638824462891,-70.8719482421875
"http://dbpedia.org/resource/Schenley_Park","Schenley Park","Pittsburgh, Pennsylvania",40.43439865112305,-79.94280242919922
"http://dbpedia.org/resource/200_West_Street","200 West Street","Manhattan",40.7147216796875,-74.01444244384766
"http://dbpedia.org/resource/200_West_Street","200 West Street","Battery Park City",40.7147216796875,-74.01444244384766
"http://dbpedia.org/resource/200_West_Street","200 West Street","New York City",40.7147216796875,-74.01444244384766
"http://dbpedia.org/resource/Barren_Island,_Brooklyn","Barren Island, Brooklyn","Jamaica Bay",40.59277725219727,-73.89305877685547
"http://dbpedia.org/resource/Barretto_Point_Park","Barretto Point Park","New York (state)",40.80559921264648,-73.88829803466797
"http://dbpedia.org/resource/Barretto_Point_Park","Barretto Point Park","Hunts Point, Bronx",40.80559921264648,-73.88829803466797
"http://dbpedia.org/resource/Barretto_Point_Park","Barretto Point Park","The Bronx",40.80559921264648,-73.88829803466797
"http://dbpedia.org/resource/Battery_Maritime_Building","Battery Maritime Building","Manhattan",40.70083236694336,-74.01194763183594
"http://dbpedia.org/resource/Battleship_Maine_Monument","Battleship Maine Monument","Bangor, Maine",44.79740142822266,-68.7738037109375
"http://dbpedia.org/resource/Bear_Mountain_State_Park","Bear Mountain State Park","New York (state)",41.31277847290039,-74.00583648681641
"http://dbpedia.org/resource/Bear_Mountain_State_Park","Bear Mountain State Park","Rockland County, New York",41.31277847290039,-74.00583648681641
"http://dbpedia.org/resource/Bear_Mountain_State_Park","Bear Mountain State Park","Orange County, New York",41.31277847290039,-74.00583648681641
"http://dbpedia.org/resource/Beardsley_Zoo","Beardsley Zoo","Bridgeport, Connecticut",41.21030044555664,-73.18222045898438
"http://dbpedia.org/resource/Beardsley_Zoo","Beardsley Zoo","Bridgeport, Connecticut",41.21250152587891,-73.18222045898438
"http://dbpedia.org/resource/Beardsley_Zoo","Beardsley Zoo","Bridgeport, Connecticut",41.21030044555664,-73.18150329589844
"http://dbpedia.org/resource/Beardsley_Zoo","Beardsley Zoo","Bridgeport, Connecticut",41.21250152587891,-73.18150329589844
"http://dbpedia.org/resource/Beaver_Meadow_Union_Chapel","Beaver Meadow Union Chapel","Norwich, Vermont",43.76444625854492,-72.37416839599609
"http://dbpedia.org/resource/Bedford_Road_Historic_District","Bedford Road Historic District","Armonk, New York",41.12527847290039,-73.71250152587891
"http://dbpedia.org/resource/Bedford_Village_Historic_District","Bedford Village Historic District","Bedford (CDP), New York",41.20426177978516,-73.63985443115234
"http://dbpedia.org/resource/Bellanca_Airfield","Bellanca Airfield","New Castle, Delaware",39.664306640625,-75.58692932128906
"http://dbpedia.org/resource/Belle_Isle_Park_(Michigan)","Belle Isle Park (Michigan)","Michigan",42.34027862548828,-82.98666381835938
"http://dbpedia.org/resource/Belle_Isle_Park_(Michigan)","Belle Isle Park (Michigan)","Detroit",42.34027862548828,-82.98666381835938
"http://dbpedia.org/resource/Bellevue_Avenue/Casino_Historic_District","Bellevue Avenue/Casino Historic District","Newport, Rhode Island",41.48249816894531,-71.30777740478516
"http://dbpedia.org/resource/Benedict_Fjord","Benedict Fjord","Arctic",83.44999694824219,-36.83333206176758
"http://dbpedia.org/resource/Berkley,_Virginia","Berkley, Virginia","Norfolk, Virginia",36.83472061157227,-76.28194427490234
"http://dbpedia.org/resource/Best_Brewing_Company_of_Chicago_Building","Best Brewing Company of Chicago Building","Chicago, Illinois",41.9386100769043,-87.66166687011719
